movie_name,description,genre
The Shawshank Redemption,imprison 1940 doubl murder wife lover stand banker andi dufresn begin new life shawshank prison put account skill work moral warden long stretch prison dufresn come admir inmat includ older prison name red integr unquench sens hope,"Drama, Crime"
The Godfather,span year 1945 1955 chronicl fiction italianamerican corleon crime famili organ crime famili patriarch veto corleon bare surviv attempt life youngest son michael step take care would killer launch campaign bloodi reveng,"Drama, Crime"
The Godfather Part II,continu saga corleon crime famili young veto corleon grow simpli 1910 new york 1950 michael corleon attempt expand famili busi la vega hollywood cuba,"Drama, Crime"
Schindler's List,true stori businessman oscar chandler save thousand jewish life nazi work slave factori world war ii,"Drama, History, War"
12 Angry Men,defens prosecut rest juri file juri room decid young spanishamerican guilti innoc murder father begin open shut case soon becom minidrama juror prejudic preconcept trial accus,Drama
Spirited Away,young girl chihiro becom trap strang new world spirit parent undergo mysteri transform must call upon courag never knew free famili,"Animation, Family, Fantasy"
The Dark Knight,batman rais stake war crime help lt jim gordon district attorney harvey dent batman set dismantl remain crimin organ plagu street partnership prof effect soon find prey reign chao unleash rise crimin mastermind known terrifi citizen gotham joker,"Drama, Action, Crime, Thriller"
Dilwale Dulhania Le Jayenge,raj rich carefre happygolucki second gener nri iran daughter chaudhari ballet singh spite nri strict adher indian valu iran left india marri childhood fiancé raj leaf india mission hand claim ladi love nose whole famili thu begin saga,"Comedy, Drama, Romance"
The Green Mile,supernatur tale set death row southern prison gentl giant john coffe possess mysteri power heal peopl ailment cell block head guard paul edgecomb recogn offer miracul gift tri desper help stave condemn man execut,"Fantasy, Drama, Crime"
Parasite,unemploy kite famili take peculiar interest wealthi glamor park livelihood get entangl unexpect incid,"Comedy, Thriller, Drama"
The Lord of the Rings: The Return of the King,armi mass final battl decid fate woodland power ancient forc light dark compet determin outcomeon member fellowship ring reveal nobl heir throne king men yet sole hope triumph evil lie brave orbit accompani loyal friend sam hideou wretch mollu ventur deep dark heart border seemingli imposs quest destroy ring power​,"Adventure, Fantasy, Action"
Pulp Fiction,burgerlov hit man philosoph partner drugaddl gangster poll wash boxer converg sprawl comed crime paper adventur unsur three stori ingeni trip back forth time,"Thriller, Crime, Comedy, Drama"
Your Name.,high school mitsuha take complet stranger live separ life one night suddenli switch place mitsuha wake take ’ bodi bizarr occurr continu happen randomli two must adjust life around,"Animation, Romance, Drama"
Forrest Gump,man low iq accomplish great thing life present signific histor events—in case far exceed anyon imagin could despit achiev one true love blue,"Comedy, Drama, Romance"
"The Good, the Bad and the Ugly",civil war rage union confederaci three men – quiet lower ruthless hitman mexican bandit – comb american southwest search strongbox contain 200000 stolen gold,Western
Interstellar,adventur group explor make use newli discov wormhol surpass limit human space travel conquer vast distanc involv interstellar voyag,"Adventure, Drama, Science Fiction"
Seven Samurai,samurai answer villag request protect fall hard time town need protect bandit samurai gather six other help teach peopl defend villag provid soldier food,"Action, Drama"
GoodFellas,true stori henri hill halfirish halfsicilian brooklyn kid adopt neighbourhood gangster earli age climb rank mafia famili guidanc jimmi conway,"Drama, Crime"
Grave of the Fireflies,final month world war ii 14yearli seit sister setsuko orphan mother kill air raid kobe japan fall aunt move abandon bomb shelter surviv rel emerg ration deplet seit setsuko struggl surviv,"Animation, Drama, War"
Life Is Beautiful,touch stori italian book seller jewish ancestri life littl fairi tale creativ happi life would come abrupt halt entir famili deport concentr camp world war ii lock tri convinc son whole thing game,"Comedy, Drama"
